Acquereur;Ticker;Cible;Date_annonce;deal _value;payment_method;LnDealValue;Cross_border ;Same_industry;CAR;DealSize;Market_value;Prime;;;;;;
Microsoft Corp;MSFT;Activision Blizzard;18/01/2022;68 700 000 000,00;Cash;24,953;0;1;-0,01764806;0,029;2326500;45,30%;;2 326 500 000 000,00;0,029529336;;;
Broadcom Inc.;AVGO;VMware;26/05/2022;61 000 000 000,00;Mixed;24,834;0;1;-0,084486407;0,28;213702;44%;;213 702 000 000,00;0,285444217;;;
Exxon Mobil Corp;XOM;Pioneer Natural Resources;11/10/2023;59 500 000 000,00;Stock;24,809;0;1;-0,038486051;0,13;441874;18%;;441 874 000 000,00;0,13465377;;;
Chevron Corp;CVX;Hess Corporation;23/10/2023;53 000 000 000,00;Stock ;24,693;0;1;-0,084002112;0,16;318878;10%;;318 878 000 000,00;0,166207766;;;
Anheuser-Busch InBev;BUD;SABMiller;15/09/2015;107 000 000 000,00;Cash;25,396;1;1;0,002106413;0,71;150632;23%;;150 632 000 000,00;0,710340432;;;
AT&T Inc.;T;Time Warner;22/10/2016;85 400 000 000,00;Cash;25,17;0;0;-0,083870785;0,35;241700;36%;;241 700 000 000,00;0,353330575;;;
S&P Global Inc.;SPGI;IHS Markit;30/11/2020;44 000 000 000,00;Stock;24,507;0;1;-0,047582469;0,54;81390;13%;;81 390 000 000,00;0,540606954;;;
United Technologies;UTX;Raytheon;09/06/2019;121 000 000 000,00;Stock;25,519;0;1;;;;;;0,00;#DIV/0!;;;
Dow Inc.;DOW;DuPont;11/12/2015;130 000 000 000,00;Stock;25,59;0;1;;;;;;0,00;#DIV/0!;;;
Exxon Corp;XOM;Mobil;01/12/1998;85 600 000 000,00;Stock;25,172;0;1;-0,000539807;0,45;186141;25%;;186 141 000 000,00;0,459866445;;;
Citicorp;C;Travelers Group;06/04/1998;73 000 000 000,00;Stock;25,013;0;1;0,043866027;;;;;0,00;#DIV/0!;;;
Glaxo Wellcome;GSK;SmithKline Beecham;17/01/2000;76 000 000 000,00;Stock;25,053;1;1;-0,041397822;1,65;45832;20%;;45 832 000 000,00;1,658230058;;;
Pfizer Inc.;PFE;Warner-Lambert;04/11/1999;90 000 000 000,00;Stock;25,223;0;1;-0,156446751;0,6;149285;35%;;149 285 000 000,00;0,602873698;;;
Verizon Communications;VZ;Vodafone (45% Verizon Wireless);02/09/2013;130 000 000 000,00;Cash;25,59;1;1;-0,03324529;0,94;136843;23%;;136 843 000 000,00;0,949993789;;;sa
Vodafone Group;VOD;Mannesmann;14/11/1999;183 000 000 000,00;Stock;25,932;1;1;-0,098614243;1,85;98442;30%;;98 442 000 000,00;1,858962638;;;
Royal Dutch Shell;SHEL;BG Group;08/04/2015;47 000 000 000,00;Stock;24,573;1;1;0,01998347;0,35;132654;12%;;132 654 000 000,00;0,354305185;;;
Comcast Corp;CMCSA;Sky plc;25/04/2018;39 000 000 000,00;Cash;24,386;1;1;-0,020888949;0,24;158182;30%;;158 182 000 000,00;0,246551441;;;
The Walt Disney Company;DIS;21st Century Fox (assets);14/12/2017;71 300 000 000,00;Stock;24,99;0;1;0,039782599;0,44;161415;36%;;161 415 000 000,00;0,441718552;;;
Oracle Corp;ORCL;Cerner;20/12/2021;28 300 000 000,00;Cash;24,066;0;0;-0,168595475;0,1;275700;20%;;275 700 000 000,00;0,102647806;;;
Salesforce Inc.;CRM;Slack Technologies;01/12/2020;27 700 000 000,00;Stock;24,044;0;1;-0,183732188;0,12;224661;55%;;224 661 000 000,00;0,123296878;;;
NVIDIA Corp*;NVDA;Arm Holdings;13/09/2020;40 000 000 000,00;Stock;24,412;1;1;-0,101034779;0,12;313806;40%;;313 806 000 000,00;0,127467289;;;
Dell Technologies;DELL;EMC Corp;12/10/2015;67 000 000 000,00;Cash;24,927;0;1;;;;;;0,00;#DIV/0!;;;
CVS Health Corp;CVS;Aetna;03/12/2017;69 000 000 000,00;Cash;24,957;0;0;0,014146412;0,88;77595;21%;;77 595 000 000,00;0,889232554;;;
Analog Devices;ADI;Maxim Integrated;13/07/2020;21 000 000 000,00;Stock;23,767;0;1;-0,081417216;0,45;45776;23%;;45 776 000 000,00;0,45875568;;;
Toronto-Dominion Bank*;TD;First Horizon;28/02/2022;13 000 000 000,00;Cash;23,288;0;1;-0,079603996;0,06;190151;37%;;190 151 000 000,00;0,068366719;;;
EQT Corp;EQT;Equitrans Midstream;11/03/2024;14 500 000 000,00;Stock;23,397;0;1;-0,10086897;0,92;15754;5%;;15 754 000 000,00;0,920401168;;;
Alcoa Corp;AA;Alumina Limited;26/02/2024;2 800 000 000,00;Stock;21,752;1;1;0,001212515;0,56;4990;0%;;4 990 000 000,00;0,561122244;;;
AstraZeneca;AZN;Amolyt Pharma;24/06/2024;1 000 000 000,00;Cash;20,723;1;1;-0,021356777;0,005;193381;0%;;193 381 000 000,00;0,005171139;;;
